date,elapsed_days,rent_cash,rent_investments,rent_home_value,rent_mortgage_principal,rent_accrued_mortgage_interest,rent_equity,rent_net_worth,rent_net_worth_after_selling_costs,rent_cumulative_income,rent_cumulative_housing_cash_outflows,rent_cumulative_housing_expenses,buy_cash,buy_investments,buy_home_value,buy_mortgage_principal,buy_accrued_mortgage_interest,buy_equity,buy_net_worth,buy_net_worth_after_selling_costs,buy_cumulative_income,buy_cumulative_housing_cash_outflows,buy_cumulative_housing_expenses,net_worth_difference,net_worth_after_selling_costs_difference
2026-01-31,0,15000.00,135000.00,0.00,0.00,0.00,0.00,150000.00,150000.00,0.00,0.00,0.00,15000.00,5000.00,600000.00,480000.00,0.00,120000.00,140000.00,104000.00,0.00,130000.00,10000.00,-10000.00,-46000.00
2026-02-28,28,15000.00,138577.60,0.00,0.00,0.00,0.00,153577.60,153577.60,6250.00,3300.00,3300.00,15000.00,7585.98,601362.06,479572.78,0.00,121789.28,144375.26,108293.54,6250.00,133709.22,13282.00,-9202.33,-45284.06
2026-03-31,59,15000.00,142240.35,0.00,0.00,0.00,0.00,157240.35,157240.35,12500.00,6600.00,6600.00,15000.00,10189.64,602873.66,479143.21,0.00,123730.45,148920.09,112747.67,12500.00,137418.45,16561.66,-8320.26,-44492.68
2026-04-30,89,15000.00,145897.64,0.00,0.00,0.00,0.00,160897.64,160897.64,18750.00,9900.00,9900.00,15000.00,12803.77,604340.12,478711.29,0.00,125628.83,153432.60,117172.19,18750.00,141127.67,19838.96,-7465.04,-43725.45
2026-05-31,120,15000.00,149596.70,0.00,0.00,0.00,0.00,164596.70,164596.70,25000.00,13200.00,13200.00,15000.00,15433.31,605859.20,478277.00,0.00,127582.21,158015.52,121663.97,25000.00,144836.90,23113.89,-6581.19,-42932.74
2026-06-30,150,15000.00,153289.31,0.00,0.00,0.00,0.00,168289.31,168289.31,31250.00,16500.00,16500.00,15000.00,18072.61,607332.92,477840.32,0.00,129492.60,162565.21,126125.23,31250.00,148546.12,26386.45,-5724.10,-42164.07
2026-07-31,181,15000.00,157025.05,0.00,0.00,0.00,0.00,172025.05,172025.05,37500.00,19800.00,19800.00,15000.00,20728.30,608859.53,477401.26,0.00,131458.27,167186.57,130655.00,37500.00,152255.35,29656.60,-4838.48,-41370.05
2026-08-31,212,15000.00,160779.32,0.00,0.00,0.00,0.00,175779.32,175779.32,43750.00,23100.00,23100.00,15000.00,23397.16,610389.97,476959.78,0.00,133430.19,171827.35,135203.95,43750.00,155964.57,32924.35,-3951.97,-40575.36
2026-09-30,242,15000.00,164525.61,0.00,0.00,0.00,0.00,179525.61,179525.61,50000.00,26400.00,26400.00,15000.00,26074.69,611874.71,476515.89,0.00,135358.83,176433.52,139721.04,50000.00,159673.79,36189.68,-3092.09,-39804.57
2026-10-31,273,15000.00,168317.09,0.00,0.00,0.00,0.00,183317.09,183317.09,56250.00,29700.00,29700.00,15000.00,28770.08,613412.74,476069.56,0.00,137343.18,181113.26,144308.49,56250.00,163383.02,39452.58,-2203.83,-39008.60
